Kode_Lokasi,Nama_Lokasi,Lat,Lon,C1_Aksesibilitas,C2_Kepadatan_Penduduk,C3_Infrastruktur,C4_Kompetisi,C5_Biaya_Sewa,C6_Demografi_Usia_Produktif,C7_Kedekatan_POI,C4_Kompetitor,Skor_SAW
K088,Kandidat 88,-6.904029697785407,112.06792876807891,6,14041,4,0.0,46,69,57.0,23.0,0.513667863810808
K097,Kandidat 97,-6.929301998760192,112.06106825161368,5,3580,7,0.0,16,49,5.0,1.0,0.5127398497359555
K024,Kandidat 24,-6.899427452626825,112.05121935769812,7,7780,4,0.0,44,52,93.0,43.0,0.5124804775457047
K008,Kandidat 8,-7.07114045098239,112.18242522906874,6,11096,9,0.0,44,34,2.0,1.0,0.5105261598910779
K096,Kandidat 96,-6.963973967614541,111.71371783829844,9,12662,8,0.0,26,50,24.0,20.0,0.5057304556603238
K036,Kandidat 36,-6.887344629004972,112.0414742259355,9,13174,10,0.0,45,35,31.0,7.0,0.5056397221501024
K095,Kandidat 95,-6.894541631280184,112.0494998191642,6,7070,6,0.0,31,45,81.0,40.0,0.4987180655082686
K025,Kandidat 25,-6.896696603724033,112.05070417607271,4,5368,9,0.0,50,49,92.0,43.0,0.49629123396464947
K014,Kandidat 14,-6.900818593557286,112.05541983151826,5,5806,9,0.0,41,37,89.0,48.0,0.4952665578273816
K011,Kandidat 11,-6.9032635620228175,112.16934125581164,6,10206,10,0.0,27,63,8.0,3.0,0.4951349737792884
K028,Kandidat 28,-6.900085465885413,112.0636943238752,7,7495,10,0.0,58,30,77.0,28.0,0.4942210553737091
K027,Kandidat 27,-6.884220246420004,112.01022693660782,8,11173,8,0.0,26,62,21.0,20.0,0.4917083303846669
K075,Kandidat 75,-6.899389227342138,112.06524373918958,4,8177,6,0.0,26,44,75.0,27.0,0.48970146006883075
K007,Kandidat 7,-6.886111623949861,112.01658915541594,9,14367,8,0.0,58,51,27.0,20.0,0.4883232603501694
K056,Kandidat 56,-6.897562503059908,112.06057342108603,7,8222,4,0.0,25,32,76.0,41.0,0.4860927678801531
K078,Kandidat 78,-6.879298437217096,112.04049929595148,10,11308,10,0.0,55,53,17.0,7.0,0.48478834370931306
K074,Kandidat 74,-6.882691975752463,112.01360021035406,8,14867,8,0.0,53,57,22.0,20.0,0.48454343054358046
K050,Kandidat 50,-6.897908210831055,112.06465819886674,9,5491,7,0.0,44,47,69.0,26.0,0.4829016542552511
K039,Kandidat 39,-7.073292573030105,112.1080994933926,9,14928,6,0.0,28,59,2.0,8.0,0.4799868930742002
K031,Kandidat 31,-6.891977620592394,112.0414505440126,4,9002,9,0.0,34,56,46.0,9.0,0.4760285276153909
K019,Kandidat 19,-6.883150376361696,112.0100907583634,6,11716,5,0.0,21,65,21.0,20.0,0.4698273644972526
K094,Kandidat 94,-7.074306559723144,112.10960723418604,5,6343,8,0.0,10,35,3.0,8.0,0.4696621830602695
K057,Kandidat 57,-6.900373547347924,112.036289011994,8,8315,8,0.0,48,62,32.0,6.0,0.4688899884475873
K052,Kandidat 52,-6.898673072747008,112.06252011778544,7,6124,5,0.0,34,36,80.0,38.0,0.46852319140390347
K080,Kandidat 80,-6.898184152415056,112.06409369678636,7,5838,5,0.0,49,59,73.0,27.0,0.46752995133750835
K063,Kandidat 63,-7.073521855426105,112.1117344501994,7,9966,4,0.0,14,60,2.0,8.0,0.46300541510624804
K032,Kandidat 32,-6.900045420861382,112.03448890104625,4,9614,8,0.0,31,69,23.0,5.0,0.46058219237285203
K013,Kandidat 13,-6.88302424003512,112.0189314130654,8,8801,9,0.0,48,69,23.0,16.0,0.45893851778861117
K093,Kandidat 93,-6.78630626616274,111.79280351554718,9,10404,5,0.0,54,56,7.0,2.0,0.4527920214108392
K076,Kandidat 76,-6.891491771327836,112.04047836571604,9,12561,5,0.0,47,37,32.0,7.0,0.45263799163766727
K005,Kandidat 5,-6.88919047543823,112.05338326589568,9,4409,9,0.0,33,68,28.0,20.0,0.45117449174030166
K017,Kandidat 17,-6.897430659681318,112.0667583013174,5,4841,8,0.0,41,52,66.0,24.0,0.45097177926240617
K079,Kandidat 79,-7.062135193948634,112.00685367238626,6,8949,4,0.0,22,37,39.0,5.0,0.44832487085103573
K070,Kandidat 70,-6.965945302253597,111.71470802177276,6,12874,7,0.0,56,60,26.0,20.0,0.445445718423924
K009,Kandidat 9,-6.902437673933333,112.07889531117588,9,10560,7,0.0,57,50,10.0,3.0,0.4451661885171161
K018,Kandidat 18,-6.830197474273471,111.99625458023556,9,13647,7,0.0,46,32,2.0,3.0,0.44128436316666897
K045,Kandidat 45,-6.8839838216222375,112.00809423952164,9,9457,10,0.0,40,39,18.0,18.0,0.43859087528505225
K068,Kandidat 68,-6.829183112076985,111.9967303740416,8,3635,8,0.0,20,61,1.0,3.0,0.4370816562792663
K059,Kandidat 59,-6.931212020922078,112.05911497907418,7,3876,6,0.0,51,48,4.0,1.0,0.4363299995410691
K026,Kandidat 26,-7.073096096154428,112.10834703115452,9,9655,9,0.0,39,57,2.0,8.0,0.4339574974442
K034,Kandidat 34,-7.059537907850986,112.0115060106856,6,8919,5,0.0,28,40,33.0,5.0,0.42998750470568353
K051,Kandidat 51,-7.082344426928227,112.11510978677347,4,13852,7,0.0,21,35,2.0,6.0,0.4244519110819625
K041,Kandidat 41,-6.857533420824699,112.02646385388208,9,3574,4,0.0,18,44,4.0,2.0,0.4243937570119964
K040,Kandidat 40,-6.884167090025041,112.01510972833088,9,6769,5,0.0,21,43,23.0,20.0,0.42253578050888174
K087,Kandidat 87,-6.899476375286648,112.0671697888008,4,3512,6,0.0,38,54,70.0,26.0,0.4224887027579429
K002,Kandidat 2,-6.88140204277436,112.01020359164504,6,10806,5,0.0,19,30,19.0,20.0,0.41568282352867647
K054,Kandidat 54,-7.0599897474611,112.00506456347242,4,6051,7,0.0,45,56,40.0,5.0,0.4124272189852417
K047,Kandidat 47,-6.907346255695643,112.06406815733592,6,12907,4,0.0,56,25,48.0,22.0,0.41168268215780707
K053,Kandidat 53,-6.881288704233745,112.00780492948836,10,8691,6,0.0,30,34,17.0,16.0,0.4092053488347622
K022,Kandidat 22,-7.0856647899966765,112.1150610884293,7,5950,10,0.0,32,27,1.0,2.0,0.4085679499089787
K090,Kandidat 90,-6.882028140299352,112.0456043591636,4,8237,7,0.0,28,57,19.0,8.0,0.40641476509270813
K067,Kandidat 67,-6.885594187090424,112.01337285257982,9,7465,7,0.0,52,52,23.0,20.0,0.40579627112502736
K001,Kandidat 1,-6.884845797923145,112.01507334046654,7,6009,7,0.0,45,60,27.0,20.0,0.3973453054637326
K092,Kandidat 92,-6.882025177287373,112.01010938540124,10,6672,8,0.0,57,42,21.0,20.0,0.3956603754813044
K037,Kandidat 37,-7.076087862835971,112.1131447765859,10,3853,5,0.0,21,61,3.0,9.0,0.39547800792229876
K098,Kandidat 98,-7.074841504439988,112.11066326939677,10,10004,4,0.0,34,46,3.0,8.0,0.3912143170202424
K065,Kandidat 65,-7.076065248642941,112.11106939669251,9,10987,5,0.0,32,32,3.0,9.0,0.38239501077824334
K064,Kandidat 64,-6.830869486693226,111.99765139873632,7,10079,4,0.0,44,50,1.0,3.0,0.38134497660682537
K015,Kandidat 15,-7.076579018043836,112.11360322912496,9,3537,9,0.0,33,52,3.0,9.0,0.37462725387183826
K010,Kandidat 10,-6.882045866125081,112.00682844200874,4,10343,8,0.0,45,43,13.0,14.0,0.36936341850665244
K083,Kandidat 83,-6.782931225734078,111.77685174166996,10,4931,5,0.0,59,29,14.0,6.0,0.3305826470557061
