Kode_Lokasi,Nama_Lokasi,Area,Lat,Lon,C1_Aksesibilitas,C2_Kepadatan_Penduduk,C3_Infrastruktur,C4_Kompetitor,C5_Biaya_Sewa,C6_Demografi_Usia_Produktif,C7_Kedekatan_POI,Skor_SAW,Rank_SAW,Skor_TOPSIS,Rank_TOPSIS,Vektor_S_WP,Skor_WP,Rank_WP
K021,Kandidat 21 (Jl. Basuki Rahmat #2),Jl. Basuki Rahmat,-6.847231,112.022122,8,10614,7,2,46,47,1,0.4186819190849945,141,0.3881319194764794,154,2.3440174301230985,0.002939732771962091,185
K022,Kandidat 22 (Alun-Alun Tuban #2),Alun-Alun Tuban,-7.089991,112.114706,9,11075,8,1,22,59,1,0.6083595389285109,20,0.4481225618588378,102,3.231029890787301,0.004052173134496576,154
K023,Kandidat 23 (Jl. Veteran #2),Jl. Veteran,-6.887253,112.005909,8,7219,7,9,64,59,12,0.35066174128351285,180,0.3420462998920028,187,3.114989855933029,0.003906642350920955,161
K024,Kandidat 24 (Jl. Letda Sucipto #2),Jl. Letda Sucipto,-6.901031,112.050398,5,8335,10,42,31,40,86,0.5893702890603261,31,0.6321866800966587,14,4.793169183225109,0.006011319006593579,38
K025,Kandidat 25 (Jl. Panglima Sudirman #2),Jl. Panglima Sudirman,-6.897224,112.047566,7,11391,8,42,62,60,84,0.5748532701331898,38,0.5576364372451355,50,4.364500537570454,0.005473707276514673,74
K026,Kandidat 26 (Jl. Pahlawan #2),Jl. Pahlawan,-7.069674,112.10403,6,11214,9,4,32,36,1,0.4133229569960246,148,0.4128310088468847,141,2.2914318376540224,0.0028737829255455188,188
K027,Kandidat 27 (Kawasan Pantai Boom #2),Kawasan Pantai Boom,-6.887824,112.017469,8,3509,10,15,64,36,28,0.3501129210747812,181,0.3602177474744977,178,3.1978999933154695,0.004010623509447682,155
K028,Kandidat 28 (Jl. KH. Agus Salim #2),Jl. KH. Agus Salim,-6.899915,112.060327,5,13516,9,46,32,63,86,0.6520302569473672,8,0.6308423190786255,15,5.158576133094504,0.0064695915312895065,25
K029,Kandidat 29 (Jl. Dr. Wahidin Sudirohusodo #2),Jl. Dr. Wahidin Sudirohusodo,-6.894596,112.058556,10,10949,7,44,36,58,77,0.6078101715574653,21,0.5968085297794028,29,4.895829355983758,0.0061400695313787316,35
K030,Kandidat 30 (Jl. Hayam Wuruk #2),Jl. Hayam Wuruk,-6.908386,112.051523,8,7500,7,12,49,32,37,0.4061436520375814,154,0.46235793476986325,90,4.048684327750589,0.005077628625394934,103
K031,Kandidat 31 (Kawasan Kampus Unirow #2),Kawasan Kampus Unirow,-6.890687,112.047088,5,5500,8,19,19,69,48,0.5543069883044303,45,0.579550759384386,37,5.059638597266435,0.006345509725107855,30
K032,Kandidat 32 (Jl. Gajah Mada #2),Jl. Gajah Mada,-6.903999,112.035648,10,10690,9,6,51,41,29,0.46408393030302,112,0.46079385962061115,91,4.616460367698517,0.00578970090366384,52
K033,Kandidat 33 (Kawasan GOR Rangga Jaya #2),Kawasan GOR Rangga Jaya,-6.906089,112.062234,9,10745,6,26,15,44,60,0.6765699776607697,4,0.6514515060792876,7,5.888334757427388,0.007384813114543982,4
K034,Kandidat 34 (Jl. RE Martadinata #2),Jl. RE Martadinata,-7.054151,112.012021,6,8044,8,3,46,65,22,0.437790716701117,130,0.4431973981006252,107,4.624474325786893,0.005799751552145704,50
K035,Kandidat 35 (Jl. Diponegoro #2),Jl. Diponegoro,-6.891302,112.052857,7,10739,5,33,48,34,49,0.4432795848362415,127,0.4584990355655498,95,3.8592874848381786,0.004840097923250569,116
K036,Kandidat 36 (Jl. Brawijaya #2),Jl. Brawijaya,-6.883644,112.046186,8,7863,9,8,58,36,22,0.3829113182489534,170,0.39220675141516553,150,3.743106827834701,0.004694390779407669,128
K037,Kandidat 37 (Jl. Sunan Kalijaga #2),Jl. Sunan Kalijaga,-7.078432,112.109124,5,8358,7,9,62,54,3,0.31154208541002665,195,0.32375724909549763,200,2.182396949597067,0.002737037596953224,191
K038,Kandidat 38 (Jl. Teuku Umar #2),Jl. Teuku Umar,-6.905567,112.052287,9,10496,8,30,25,70,67,0.6357521885273791,13,0.6532746872726871,4,5.517872648750787,0.006920200698419759,8
K039,Kandidat 39 (Kawasan Manunggal #2),Kawasan Manunggal,-7.071082,112.111263,6,10381,7,7,48,49,2,0.3527509230934074,179,0.36307293309157357,174,2.260143608215199,0.0028345430153486274,189
K040,Kandidat 40 (Jl. Ronggolawe #2),Jl. Ronggolawe,-6.884885,112.007411,7,10502,5,16,48,69,17,0.3960827171685298,161,0.36968599676834885,171,3.4598434911123994,0.004339138082325911,148
K041,Kandidat 41 (Jl. Basuki Rahmat #3),Jl. Basuki Rahmat,-6.862069,112.032542,7,13050,7,1,56,48,4,0.4993765796755175,86,0.3905153600750363,153,3.533645607227863,0.004431696480824418,144
K042,Kandidat 42 (Alun-Alun Tuban #3),Alun-Alun Tuban,-6.90027,112.059534,10,10543,7,47,31,41,86,0.6266859597840073,15,0.6198871955984313,19,5.011314809200364,0.006284904790341769,33
K043,Kandidat 43 (Jl. Veteran #3),Jl. Veteran,-6.902235,112.056619,9,9471,7,50,48,37,82,0.5513837821370693,46,0.5517209743826452,55,4.274945808482832,0.005361392850606481,86
K044,Kandidat 44 (Jl. Letda Sucipto #3),Jl. Letda Sucipto,-7.068288,112.108863,7,7800,6,7,57,42,1,0.30554431857737924,197,0.333638341461542,194,1.7342144082351199,0.002174952653500487,198
K045,Kandidat 45 (Jl. Panglima Sudirman #3),Jl. Panglima Sudirman,-6.886878,112.000233,5,4260,7,1,30,62,4,0.47052514643085697,108,0.41643866239595434,134,3.503086043306599,0.004393370421298703,145
K046,Kandidat 46 (Jl. Pahlawan #3),Jl. Pahlawan,-6.893685,112.059155,7,9531,8,39,54,35,65,0.4889832421383241,91,0.503246712597772,74,4.010516617214926,0.005029760862958304,107
K047,Kandidat 47 (Kawasan Pantai Boom #3),Kawasan Pantai Boom,-6.909606,112.062337,7,5387,7,6,43,63,29,0.4109568340599199,151,0.45933960437487065,93,4.316274897469742,0.005413225433320585,80
K048,Kandidat 48 (Jl. KH. Agus Salim #3),Jl. KH. Agus Salim,-6.898493,112.066509,6,10277,6,27,35,36,71,0.5293708592751496,62,0.6447788435355506,11,4.7027078909556765,0.005897867620925119,43
K049,Kandidat 49 (Jl. Dr. Wahidin Sudirohusodo #3),Jl. Dr. Wahidin Sudirohusodo,-6.897186,112.04766,7,8277,6,42,35,37,83,0.548854366714897,48,0.6121041033469662,22,4.519554448785118,0.005668167035371803,56
K050,Kandidat 50 (Jl. Hayam Wuruk #3),Jl. Hayam Wuruk,-6.90169,112.071898,6,9876,7,17,60,65,47,0.45789016442211217,116,0.47812613450003694,80,4.1751266435212475,0.005236205355523712,93
K051,Kandidat 51 (Kawasan Kampus Unirow #3),Kawasan Kampus Unirow,-7.076709,112.109777,6,13445,8,9,23,57,3,0.4804106791626296,99,0.4329499838144616,121,3.0629068192657765,0.0038413227812853384,166
K052,Kandidat 52 (Jl. Gajah Mada #3),Jl. Gajah Mada,-6.895371,112.061494,9,8740,8,30,44,48,69,0.5373172933345982,53,0.5911463245825929,31,4.579956146563473,0.005743919394615929,54
K053,Kandidat 53 (Kawasan GOR Rangga Jaya #3),Kawasan GOR Rangga Jaya,-6.876015,112.015546,7,13747,8,16,29,53,6,0.4547564034526693,119,0.40336687844874575,145,3.196215750709749,0.004008511228574535,156
K054,Kandidat 54 (Jl. RE Martadinata #3),Jl. RE Martadinata,-7.055252,112.001811,6,11650,8,3,16,57,15,0.5965073054280162,28,0.5001688012761937,76,5.692135042596412,0.0071387506390154,6
K055,Kandidat 55 (Jl. Diponegoro #3),Jl. Diponegoro,-6.896188,112.041599,5,8626,8,13,37,49,63,0.5128316331056555,75,0.6518871807681125,6,5.022855439550051,0.0062993783897323215,32
K056,Kandidat 56 (Jl. Brawijaya #3),Jl. Brawijaya,-6.8925,112.062628,7,10382,7,17,39,68,48,0.5093729317462545,77,0.5551857620935784,51,4.771322118791581,0.005983919666272532,40
K057,Kandidat 57 (Jl. Sunan Kalijaga #3),Jl. Sunan Kalijaga,-6.905312,112.043451,6,4562,7,10,53,53,51,0.4183756015744152,143,0.5206749822069043,67,4.181238599200287,0.0052438706212250465,92
K058,Kandidat 58 (Jl. Teuku Umar #3),Jl. Teuku Umar,-6.906683,112.05746,7,8132,9,27,34,56,54,0.5171754128408406,69,0.5542638529795851,52,4.622948905185305,0.005797838456758321,51
K059,Kandidat 59 (Kawasan Manunggal #3),Kawasan Manunggal,-6.936669,112.061426,8,11758,8,1,32,67,4,0.5712398262716119,39,0.43676042971514395,114,4.183943946072247,0.005247263512744036,91
K060,Kandidat 60 (Jl. Ronggolawe #3),Jl. Ronggolawe,-6.904259,112.04735,8,11443,8,25,58,50,67,0.5333774755967092,58,0.5636030905256607,46,4.498011777115802,0.005641149447068894,62
K061,Kandidat 61 (Jl. Basuki Rahmat #4),Jl. Basuki Rahmat,-6.901602,112.064347,7,14352,7,27,40,65,74,0.6091069170661183,19,0.6637162602857314,2,5.156577549585737,0.006467085022010727,26
K062,Kandidat 62 (Alun-Alun Tuban #4),Alun-Alun Tuban,-6.888012,112.026034,6,14054,10,1,51,64,17,0.5822293815432984,33,0.44575444837166694,106,5.417356470568557,0.0067941390491686425,14
K063,Kandidat 63 (Jl. Veteran #4),Jl. Veteran,-7.069577,112.104722,5,14016,6,4,62,35,1,0.3532812101456272,178,0.3654516017419246,173,1.9166757041512434,0.002403785188756478,196
K064,Kandidat 64 (Jl. Letda Sucipto #4),Jl. Letda Sucipto,-6.832588,111.997838,9,7017,7,3,45,55,2,0.38077925745142327,171,0.378023402205183,164,2.5459813934619606,0.0031930244387187766,177
K065,Kandidat 65 (Jl. Panglima Sudirman #4),Jl. Panglima Sudirman,-7.078694,112.119501,9,11934,5,4,51,67,1,0.4018892717687067,157,0.37818809893005645,163,2.1302684419796125,0.002671661000249138,192
K066,Kandidat 66 (Jl. Pahlawan #4),Jl. Pahlawan,-6.897667,112.062409,10,3505,7,37,42,42,75,0.49938874431617586,85,0.5666417043246547,42,3.9926624252169685,0.005007369155175422,109
K067,Kandidat 67 (Kawasan Pantai Boom #4),Kawasan Pantai Boom,-6.889903,112.017636,9,12337,10,14,44,69,29,0.5074053798933204,78,0.4594832637483615,92,4.513679139480888,0.005660798558036652,59
K068,Kandidat 68 (Jl. KH. Agus Salim #4),Jl. KH. Agus Salim,-6.825557,112.001629,8,9060,8,3,25,39,1,0.44708138264911573,125,0.4264461768801997,129,2.5077345140580616,0.003145057387209685,179
K069,Kandidat 69 (Jl. Dr. Wahidin Sudirohusodo #4),Jl. Dr. Wahidin Sudirohusodo,-6.905158,112.055546,7,9816,9,38,20,57,69,0.6494123950849886,10,0.6263778552908984,17,5.4857644187401045,0.0068799323903435934,10
K070,Kandidat 70 (Jl. Hayam Wuruk #4),Jl. Hayam Wuruk,-6.960103,111.710629,7,13502,6,13,34,43,12,0.42616421331836757,135,0.4157424464948619,137,3.6055179838701217,0.004521834710301216,141
K071,Kandidat 71 (Kawasan Kampus Unirow #4),Kawasan Kampus Unirow,-6.896759,112.073378,6,9733,9,12,52,68,35,0.4555326503279419,117,0.4591279587556679,94,4.309665314432654,0.005404936071810969,82
K072,Kandidat 72 (Jl. Gajah Mada #4),Jl. Gajah Mada,-6.904795,112.057314,8,10488,8,41,47,37,72,0.5367279621908686,54,0.5532983025044551,54,4.345238350924014,0.005449549742267489,76
K073,Kandidat 73 (Kawasan GOR Rangga Jaya #4),Kawasan GOR Rangga Jaya,-6.914505,112.070237,7,3509,8,2,24,33,8,0.42751075789731274,134,0.43551335564789223,117,3.8319922373822335,0.004805865782979819,119
K074,Kandidat 74 (Jl. RE Martadinata #4),Jl. RE Martadinata,-6.878906,112.022133,7,5119,7,13,51,40,9,0.30483963532073294,198,0.3242725493632362,199,2.6704875564953845,0.0033491729566764226,175
K075,Kandidat 75 (Jl. Diponegoro #4),Jl. Diponegoro,-6.896907,112.064867,9,5494,7,24,52,66,66,0.4970701860127349,88,0.5587126512778925,48,4.262590058782699,0.005345896975085737,87
K076,Kandidat 76 (Jl. Brawijaya #4),Jl. Brawijaya,-6.888744,112.041808,7,11484,9,7,58,45,27,0.4357735936199155,131,0.43269219336101544,122,4.257958560146054,0.005340088414044138,88
K077,Kandidat 77 (Jl. Sunan Kalijaga #4),Jl. Sunan Kalijaga,-6.896576,112.058814,10,7030,10,48,26,66,84,0.6587652600311663,7,0.6120042932251463,23,5.221708290237752,0.006548768276706847,19
K078,Kandidat 78 (Jl. Teuku Umar #4),Jl. Teuku Umar,-6.88441,112.043652,5,8915,8,9,43,39,29,0.4049814959855579,155,0.456963912887885,98,4.155263699042542,0.005211294385118237,97
K079,Kandidat 79 (Kawasan Manunggal #4),Kawasan Manunggal,-7.063834,112.008742,9,12944,6,5,44,66,39,0.5246235841033866,64,0.5422083968442224,57,5.4121106896414615,0.006787560090365803,15
K080,Kandidat 80 (Jl. Ronggolawe #4),Jl. Ronggolawe,-6.902794,112.070868,6,6398,8,20,40,35,50,0.4381196389161912,129,0.5255300505362641,65,4.15438145520801,0.005210187925294216,98
K081,Kandidat 81 (Jl. Basuki Rahmat #5),Jl. Basuki Rahmat,-6.959774,111.722138,7,4565,7,3,54,39,3,0.3141411587204223,193,0.3534338600619411,183,2.421350611448717,0.003036719630754804,182
K082,Kandidat 82 (Alun-Alun Tuban #5),Alun-Alun Tuban,-6.896105,112.051532,7,10443,7,43,52,64,83,0.5709218403967807,40,0.5748937932643098,40,4.451538918786363,0.0055828658426544725,66
K083,Kandidat 83 (Jl. Veteran #5),Jl. Veteran,-6.78496,111.772913,8,5690,8,5,31,64,12,0.4225001391302779,137,0.4296026760454378,126,3.9752982903463323,0.004985592049049851,112
K084,Kandidat 84 (Jl. Letda Sucipto #5),Jl. Letda Sucipto,-6.909239,112.036809,7,7533,8,1,54,71,6,0.48501747028416264,95,0.38209372012790305,160,3.797226234664911,0.0047622642481854,122
K085,Kandidat 85 (Jl. Panglima Sudirman #5),Jl. Panglima Sudirman,-6.900622,112.055618,8,5470,7,49,17,38,89,0.6652366883069587,5,0.6216338275052102,18,5.1968462345536475,0.006517587706573856,21
K086,Kandidat 86 (Jl. Pahlawan #5),Jl. Pahlawan,-6.895205,112.033428,8,9067,6,6,61,60,22,0.3994849603800942,158,0.4009991787175549,146,3.9573874351892044,0.004963129277569304,113
K087,Kandidat 87 (Kawasan Pantai Boom #5),Kawasan Pantai Boom,-6.896721,112.065282,7,12169,9,24,50,60,68,0.5639358053039043,42,0.6058940343642076,25,4.81052979049194,0.006033091688599953,36
K088,Kandidat 88 (Jl. KH. Agus Salim #5),Jl. KH. Agus Salim,-6.902379,112.068476,6,4620,8,23,41,64,63,0.4826241498431011,97,0.5778022513154767,38,4.287837429990398,0.005377560785939425,85
K089,Kandidat 89 (Jl. Dr. Wahidin Sudirohusodo #5),Jl. Dr. Wahidin Sudirohusodo,-6.876824,112.005113,5,6145,8,6,19,41,4,0.4295291459916357,132,0.42969610697501964,125,3.1450262644660905,0.003944312298841114,159
K090,Kandidat 90 (Jl. Hayam Wuruk #5),Jl. Hayam Wuruk,-6.882362,112.048272,7,9528,6,7,50,55,17,0.3878022074598361,167,0.4005533488290738,147,3.7799510367528253,0.004740598681713217,123
K091,Kandidat 91 (Kawasan Kampus Unirow #5),Kawasan Kampus Unirow,-6.9049,112.049658,8,6728,8,35,43,35,75,0.5140377337788513,74,0.5862230032183713,36,4.292756022804982,0.005383729404100345,84
K092,Kandidat 92 (Jl. Gajah Mada #5),Jl. Gajah Mada,-6.879466,112.000193,8,7725,5,1,50,67,2,0.4623244621433293,113,0.3785810005084054,162,2.8749083939572913,0.003605545894623025,171
K093,Kandidat 93 (Kawasan GOR Rangga Jaya #5),Kawasan GOR Rangga Jaya,-6.783177,111.797009,8,5616,9,1,24,71,5,0.5644629961846859,41,0.4406474946523873,109,4.337300946078141,0.0054395951024896975,77
K094,Kandidat 94 (Jl. RE Martadinata #5),Jl. RE Martadinata,-7.073571,112.106558,8,9666,7,8,60,43,2,0.33682949561497816,189,0.33516244152214214,191,2.103695236175089,0.0026383344033750057,193
K095,Kandidat 95 (Jl. Diponegoro #5),Jl. Diponegoro,-6.89129,112.043431,10,11283,8,13,39,64,46,0.5414775093665978,50,0.5660713998833022,43,5.123421403416452,0.006425502477344796,27
K096,Kandidat 96 (Jl. Brawijaya #5),Jl. Brawijaya,-6.964048,111.714721,5,4327,8,20,58,67,24,0.3452824356612453,184,0.3286305252725626,196,3.103044854193779,0.0038916616120310684,164
K097,Kandidat 97 (Jl. Sunan Kalijaga #5),Jl. Sunan Kalijaga,-6.929029,112.065024,10,7376,8,2,56,59,4,0.41609756087157834,146,0.36989433068695515,170,3.1222389607056957,0.003915733764062229,160
K098,Kandidat 98 (Jl. Teuku Umar #5),Jl. Teuku Umar,-7.075711,112.10396,7,9524,7,7,43,45,3,0.3594842844164619,176,0.37322670549595166,167,2.5489762556761,0.0031967804238429804,176
K099,Kandidat 99 (Kawasan Manunggal #5),Kawasan Manunggal,-6.90899,112.056841,10,7297,10,8,15,68,27,0.629556701398327,14,0.5294678247231868,64,5.850261338645172,0.007337063607438637,5
K100,Kandidat 100 (Jl. Ronggolawe #5),Jl. Ronggolawe,-6.90767,112.047165,10,5145,6,11,37,32,50,0.45119911247655586,122,0.5641243623262603,44,4.5113340757821385,0.005657857513094342,60
K101,Kandidat 101 (Jl. Basuki Rahmat #6),Jl. Basuki Rahmat,-6.978315,111.707188,9,8162,6,1,29,52,3,0.5223914313512112,66,0.4270077308433539,128,3.6747669272387857,0.004608682779615239,136
K102,Kandidat 102 (Alun-Alun Tuban #6),Alun-Alun Tuban,-6.78133,111.782359,7,13024,7,4,40,72,15,0.4751327200733874,105,0.4475044327700267,104,4.517037368401607,0.005665010256928956,57
K103,Kandidat 103 (Jl. Veteran #6),Jl. Veteran,-6.903383,112.070157,6,4036,9,21,52,33,52,0.40435432640393953,156,0.4839748892268427,78,3.678191068879286,0.004612977142475796,135
K104,Kandidat 104 (Jl. Letda Sucipto #6),Jl. Letda Sucipto,-6.902119,112.046591,7,12166,8,39,31,55,76,0.6156557368963599,17,0.6324460049846143,13,5.117482452455268,0.006418054184278668,28
K105,Kandidat 105 (Jl. Panglima Sudirman #6),Jl. Panglima Sudirman,-6.96013,111.719217,8,8799,7,12,38,64,13,0.40954611505061705,152,0.39488809118894347,148,3.5897865743159696,0.004502105275007269,143
K106,Kandidat 106 (Jl. Pahlawan #6),Jl. Pahlawan,-7.078041,112.11721,7,8257,6,7,64,52,1,0.31327856861643877,194,0.32751709368847226,197,1.7265934922063824,0.00216539493591949,199
K107,Kandidat 107 (Kawasan Pantai Boom #6),Kawasan Pantai Boom,-6.889248,112.052046,8,8444,10,19,63,51,32,0.4233452180499144,136,0.38074831079193694,161,3.7261793436481887,0.004673161295628896,130
K108,Kandidat 108 (Jl. KH. Agus Salim #6),Jl. KH. Agus Salim,-6.891993,112.047829,7,8682,10,31,63,38,66,0.4928318972879865,90,0.5097641472795158,72,4.042574193673213,0.005069965644242357,106
K109,Kandidat 109 (Jl. Dr. Wahidin Sudirohusodo #6),Jl. Dr. Wahidin Sudirohusodo,-6.904313,112.057045,8,12681,8,44,33,63,73,0.620879258965357,16,0.5952118914704332,30,5.03634405203301,0.006316295037046829,31
K110,Kandidat 110 (Jl. Hayam Wuruk #6),Jl. Hayam Wuruk,-6.977586,111.711132,7,8024,7,2,30,71,9,0.4751577000718538,104,0.43985619898712924,112,4.397180659332327,0.005514692818559061,73
K111,Kandidat 111 (Kawasan Kampus Unirow #6),Kawasan Kampus Unirow,-6.903581,112.063565,8,4268,9,26,61,33,68,0.452876151686177,121,0.5230222439875843,66,3.777187141641572,0.004737132362336747,124
K112,Kandidat 112 (Jl. Gajah Mada #6),Jl. Gajah Mada,-6.905654,112.046397,8,8732,7,13,52,35,57,0.4695789542041562,109,0.5634966245736194,47,4.5137829442508455,0.005660928744049866,58
K113,Kandidat 113 (Kawasan GOR Rangga Jaya #6),Kawasan GOR Rangga Jaya,-6.888733,112.041562,6,11538,9,7,24,41,27,0.5148812942989919,73,0.5198789939908764,68,5.197746949531759,0.006518717331851094,20
K114,Kandidat 114 (Jl. RE Martadinata #6),Jl. RE Martadinata,-6.892469,112.04902,9,9805,7,37,37,59,73,0.5772509762798488,36,0.6056322785206892,26,4.809426493505849,0.0060317079965396736,37
K115,Kandidat 115 (Jl. Diponegoro #6),Jl. Diponegoro,-6.881951,112.021556,9,6962,8,15,15,34,21,0.5440081090414007,49,0.47379869120990425,82,4.6304539453034845,0.00580725084939106,49
K116,Kandidat 116 (Jl. Brawijaya #6),Jl. Brawijaya,-6.891811,112.051076,6,14182,8,33,22,68,57,0.6397134373619773,11,0.603673204094414,27,5.449135535083532,0.006833994536681832,11
K117,Kandidat 117 (Jl. Sunan Kalijaga #6),Jl. Sunan Kalijaga,-6.879495,112.015574,6,11276,8,21,22,65,17,0.5035824619640996,83,0.4343753473724784,119,4.1574652638669685,0.0052140554619689436,96
K118,Kandidat 118 (Jl. Teuku Umar #6),Jl. Teuku Umar,-6.906834,112.048051,9,8707,8,16,60,47,58,0.48814747838061,92,0.5346082038535702,60,4.428839001657632,0.005554396903197547,68
K119,Kandidat 119 (Kawasan Manunggal #6),Kawasan Manunggal,-6.877914,112.010078,7,11856,6,17,28,62,13,0.4533526580698147,120,0.41634267256937485,135,3.7514868511257875,0.004704900525957343,127
K120,Kandidat 120 (Jl. Ronggolawe #6),Jl. Ronggolawe,-6.898098,112.031105,7,9650,8,4,47,54,15,0.4174484279678023,145,0.4153067905785346,138,4.114478068279874,0.005160143376666964,100
K121,Kandidat 121 (Jl. Basuki Rahmat #7),Jl. Basuki Rahmat,-7.070387,112.113956,9,7195,6,7,50,60,1,0.3426060554969901,186,0.3482181067913446,184,1.854608062265274,0.00232594349757033,197
K122,Kandidat 122 (Alun-Alun Tuban #7),Alun-Alun Tuban,-6.907254,112.0935,7,12205,10,1,19,51,1,0.6375751159783525,12,0.4572046426669636,97,3.3512519054217784,0.004202948718240302,152
K123,Kandidat 123 (Jl. Veteran #7),Jl. Veteran,-6.903324,112.072309,7,4909,7,14,26,51,36,0.45552130041936584,118,0.509181458066693,73,4.447355840529448,0.0055776196648396215,67
K124,Kandidat 124 (Jl. Letda Sucipto #7),Jl. Letda Sucipto,-6.975242,111.71126,8,4779,8,9,48,66,19,0.3798097187576657,172,0.39078119438529296,152,3.6017262979275637,0.004517079394370933,142
K125,Kandidat 125 (Jl. Panglima Sudirman #7),Jl. Panglima Sudirman,-6.888697,112.025135,10,4887,6,2,24,61,18,0.5043689630867846,81,0.4764518751075035,81,5.162393528421176,0.00647437909046084,24
K126,Kandidat 126 (Jl. Pahlawan #7),Jl. Pahlawan,-6.966545,111.719217,7,11673,7,20,46,48,23,0.41849960898964844,142,0.3859546779509696,156,3.6980993639743005,0.004637944989033845,132
