Kode_Lokasi,Nama_Lokasi,Lat,Lon,C1_Aksesibilitas,C2_Kepadatan_Penduduk,C3_Infrastruktur,C4_Kompetisi,C5_Biaya_Sewa,C6_Demografi_Usia_Produktif,C7_Kedekatan_POI,C4_Kompetitor
K074,Kandidat 74,-6.882691975752463,112.01360021035406,8,14867,8,0.0,53,57,22.0,20.0
K075,Kandidat 75,-6.899389227342138,112.06524373918958,4,8177,6,0.0,26,44,75.0,27.0
K076,Kandidat 76,-6.891491771327836,112.04047836571603,9,12561,5,0.0,47,37,32.0,7.0
K077,Kandidat 77,-6.899831023042311,112.05420837167652,8,11932,6,0.0,16,52,91.0,48.0
K078,Kandidat 78,-6.879298437217096,112.04049929595148,10,11308,10,0.0,55,53,17.0,7.0
K079,Kandidat 79,-7.062135193948634,112.00685367238626,6,8949,4,0.0,22,37,39.0,5.0
K080,Kandidat 80,-6.898184152415056,112.06409369678637,7,5838,5,0.0,49,59,73.0,27.0
K081,Kandidat 81,-6.964131386296498,111.7144817654042,4,4150,8,0.0,51,30,24.0,20.0
K082,Kandidat 82,-6.89758445749269,112.05290179408496,7,10560,5,0.0,18,42,85.0,44.0
K083,Kandidat 83,-6.782931225734078,111.77685174166997,10,4931,5,0.0,59,29,14.0,6.0
K084,Kandidat 84,-6.904002116598856,112.04562655741351,8,12204,5,0.0,36,49,62.0,18.0
K085,Kandidat 85,-6.898353980768188,112.05324049353545,8,4664,9,0.0,11,26,88.0,44.0
K086,Kandidat 86,-6.8931070667118925,112.04242083618415,10,4081,5,0.0,14,34,61.0,12.0
K087,Kandidat 87,-6.899476375286648,112.06716978880081,4,3512,6,0.0,38,54,70.0,26.0
K088,Kandidat 88,-6.904029697785407,112.06792876807893,6,14041,4,0.0,46,69,57.0,23.0
K089,Kandidat 89,-6.881470090578333,112.00907347985755,5,10805,10,0.0,47,29,16.0,20.0
K090,Kandidat 90,-6.882028140299352,112.04560435916359,4,8237,7,0.0,28,57,19.0,8.0
K091,Kandidat 91,-6.900335223016247,112.05648121107123,5,3559,5,0.0,17,25,89.0,50.0
K092,Kandidat 92,-6.882025177287373,112.01010938540124,10,6672,8,0.0,57,42,21.0,20.0
K093,Kandidat 93,-6.78630626616274,111.79280351554718,9,10404,5,0.0,54,56,7.0,2.0
K094,Kandidat 94,-7.074306559723144,112.10960723418603,5,6343,8,0.0,10,35,3.0,8.0
K095,Kandidat 95,-6.894541631280184,112.0494998191642,6,7070,6,0.0,31,45,81.0,40.0
K096,Kandidat 96,-6.963973967614541,111.71371783829845,9,12662,8,0.0,26,50,24.0,20.0
K097,Kandidat 97,-6.929301998760192,112.06106825161369,5,3580,7,0.0,16,49,5.0,1.0
K098,Kandidat 98,-7.074841504439988,112.11066326939675,10,10004,4,0.0,34,46,3.0,8.0
K099,Kandidat 99,-6.903294928425355,112.0561772847474,9,13486,8,0.0,54,51,77.0,47.0
K100,Kandidat 100,-6.902965039224359,112.05574844123377,10,11130,8,0.0,13,37,80.0,46.0
