Kode_Lokasi,Nama_Lokasi,Skor_Akhir,Peringkat_SAW,Skor_TOPSIS,Peringkat_TOPSIS,Perubahan_Peringkat
K065,Kandidat 65,0.3823950107782433,91,0.4086339626671205,74,17
K064,Kandidat 64,0.3813449766068253,92,0.3767353115856734,87,5
K015,Kandidat 15,0.3746272538718382,93,0.3808890180825333,86,7
K010,Kandidat 10,0.3693634185066524,94,0.362169396916614,92,2
K062,Kandidat 62,0.3597137585659357,95,0.3913378174034326,79,16
K003,Kandidat 3,0.3488993451878976,96,0.4222683897221034,72,24
K006,Kandidat 6,0.3417437669106155,97,0.3421131248479083,95,2
K083,Kandidat 83,0.3305826470557061,98,0.3336689808295091,97,1
K081,Kandidat 81,0.3035070111415857,99,0.312958588370572,98,1
K012,Kandidat 12,0.2947996194310271,100,0.3042380458914392,100,0
