Kode_Lokasi,Nama_Lokasi,Lat,Lon,C1_Aksesibilitas,C2_Kepadatan_Penduduk,C3_Infrastruktur,C4_Kompetisi,C5_Biaya_Sewa,C6_Demografi_Usia_Produktif,C7_Kedekatan_POI,C4_Kompetitor,Skor_TOPSIS
K096,Kandidat 96,-6.963973967614541,111.71371783829844,9,12662,8,0.0,26,50,24.0,20.0,0.48726757109450647
K019,Kandidat 19,-6.883150376361696,112.0100907583634,6,11716,5,0.0,21,65,21.0,20.0,0.4865205443732345
K032,Kandidat 32,-6.900045420861382,112.03448890104625,4,9614,8,0.0,31,69,23.0,5.0,0.48609572411515906
K036,Kandidat 36,-6.887344629004972,112.0414742259355,9,13174,10,0.0,45,35,31.0,7.0,0.4760017478452495
K002,Kandidat 2,-6.88140204277436,112.01020359164504,6,10806,5,0.0,19,30,19.0,20.0,0.47499689699091746
K063,Kandidat 63,-7.073521855426105,112.1117344501994,7,9966,4,0.0,14,60,2.0,8.0,0.47216389366926703
K094,Kandidat 94,-7.074306559723144,112.10960723418604,5,6343,8,0.0,10,35,3.0,8.0,0.4721424283450629
K054,Kandidat 54,-7.0599897474611,112.00506456347242,4,6051,7,0.0,45,56,40.0,5.0,0.4716177908054099
K027,Kandidat 27,-6.884220246420004,112.01022693660782,8,11173,8,0.0,26,62,21.0,20.0,0.46790203131700836
K040,Kandidat 40,-6.884167090025041,112.01510972833088,9,6769,5,0.0,21,43,23.0,20.0,0.4662120451168011
K051,Kandidat 51,-7.082344426928227,112.11510978677347,4,13852,7,0.0,21,35,2.0,6.0,0.4660586969220748
K097,Kandidat 97,-6.929301998760192,112.06106825161368,5,3580,7,0.0,16,49,5.0,1.0,0.4642352598947214
K090,Kandidat 90,-6.882028140299352,112.0456043591636,4,8237,7,0.0,28,57,19.0,8.0,0.46342467964623285
K011,Kandidat 11,-6.9032635620228175,112.16934125581164,6,10206,10,0.0,27,63,8.0,3.0,0.46303363652405943
K076,Kandidat 76,-6.891491771327836,112.04047836571604,9,12561,5,0.0,47,37,32.0,7.0,0.46154134667211477
K041,Kandidat 41,-6.857533420824699,112.02646385388208,9,3574,4,0.0,18,44,4.0,2.0,0.4529235116459644
K039,Kandidat 39,-7.073292573030105,112.1080994933926,9,14928,6,0.0,28,59,2.0,8.0,0.45067114732671576
K057,Kandidat 57,-6.900373547347924,112.036289011994,8,8315,8,0.0,48,62,32.0,6.0,0.4450180778617716
K068,Kandidat 68,-6.829183112076985,111.9967303740416,8,3635,8,0.0,20,61,1.0,3.0,0.44250361531506827
K021,Kandidat 21,-6.848573184546099,112.02051522493662,4,8625,8,0.0,22,25,0.0,3.0,0.44185656098817483
K047,Kandidat 47,-6.907346255695643,112.06406815733592,6,12907,4,0.0,56,25,48.0,22.0,0.4404839193407837
K044,Kandidat 44,-7.073199523854397,112.11040384459562,6,9293,7,0.0,23,38,2.0,8.0,0.43519276583360045
K005,Kandidat 5,-6.88919047543823,112.05338326589568,9,4409,9,0.0,33,68,28.0,20.0,0.42942858019086705
K037,Kandidat 37,-7.076087862835971,112.1131447765859,10,3853,5,0.0,21,61,3.0,9.0,0.42803952455997285
K053,Kandidat 53,-6.881288704233745,112.00780492948836,10,8691,6,0.0,30,34,17.0,16.0,0.4262179269505977
K016,Kandidat 16,-7.106136862230224,111.95633875344022,5,8986,7,0.0,32,44,8.0,5.0,0.4233967271928313
K003,Kandidat 3,-6.891479824232754,112.04103832392433,4,3154,6,0.0,46,55,35.0,8.0,0.4222683897221034
K023,Kandidat 23,-6.884759121405859,112.01249461389988,4,10992,7,0.0,34,37,22.0,20.0,0.4198170603075583
K065,Kandidat 65,-7.076065248642941,112.11106939669251,9,10987,5,0.0,32,32,3.0,9.0,0.4086339626671205
K022,Kandidat 22,-7.0856647899966765,112.1150610884293,7,5950,10,0.0,32,27,1.0,2.0,0.4062770842283824
K098,Kandidat 98,-7.074841504439988,112.11066326939677,10,10004,4,0.0,34,46,3.0,8.0,0.401925131903292
K018,Kandidat 18,-6.830197474273471,111.99625458023556,9,13647,7,0.0,46,32,2.0,3.0,0.39576282152456366
K008,Kandidat 8,-7.07114045098239,112.18242522906874,6,11096,9,0.0,44,34,2.0,1.0,0.3931179222577024
K062,Kandidat 62,-6.885268614471226,112.0177418457784,4,7142,6,0.0,40,52,25.0,17.0,0.3913378174034326
K078,Kandidat 78,-6.879298437217096,112.04049929595148,10,11308,10,0.0,55,53,17.0,7.0,0.3903036142723584
K045,Kandidat 45,-6.8839838216222375,112.00809423952164,9,9457,10,0.0,40,39,18.0,18.0,0.3878044987303295
K026,Kandidat 26,-7.073096096154428,112.10834703115452,9,9655,9,0.0,39,57,2.0,8.0,0.3862744263380438
K074,Kandidat 74,-6.882691975752463,112.01360021035406,8,14867,8,0.0,53,57,22.0,20.0,0.385776474612252
K007,Kandidat 7,-6.886111623949861,112.01658915541594,9,14367,8,0.0,58,51,27.0,20.0,0.38497738489837785
K013,Kandidat 13,-6.88302424003512,112.0189314130654,8,8801,9,0.0,48,69,23.0,16.0,0.38127300119017493
K015,Kandidat 15,-7.076579018043836,112.11360322912496,9,3537,9,0.0,33,52,3.0,9.0,0.38088901808253334
K064,Kandidat 64,-6.830869486693226,111.99765139873632,7,10079,4,0.0,44,50,1.0,3.0,0.37673531158567347
K093,Kandidat 93,-6.78630626616274,111.79280351554718,9,10404,5,0.0,54,56,7.0,2.0,0.37246010640994476
K070,Kandidat 70,-6.965945302253597,111.71470802177276,6,12874,7,0.0,56,60,26.0,20.0,0.37094329232198797
K009,Kandidat 9,-6.902437673933333,112.07889531117588,9,10560,7,0.0,57,50,10.0,3.0,0.37051040943732716
K001,Kandidat 1,-6.884845797923145,112.01507334046654,7,6009,7,0.0,45,60,27.0,20.0,0.36690985012206495
K010,Kandidat 10,-6.882045866125081,112.00682844200874,4,10343,8,0.0,45,43,13.0,14.0,0.362169396916614
K059,Kandidat 59,-6.931212020922078,112.05911497907418,7,3876,6,0.0,51,48,4.0,1.0,0.34632350802479966
K089,Kandidat 89,-6.881470090578333,112.00907347985756,5,10805,10,0.0,47,29,16.0,20.0,0.3461596318693093
K006,Kandidat 6,-6.885303721918655,112.0122197689166,7,3784,4,0.0,44,63,23.0,20.0,0.34211312484790835
K067,Kandidat 67,-6.885594187090424,112.01337285257982,9,7465,7,0.0,52,52,23.0,20.0,0.33421802089911273
K083,Kandidat 83,-6.782931225734078,111.77685174166996,10,4931,5,0.0,59,29,14.0,6.0,0.33366898082950913
K081,Kandidat 81,-6.964131386296498,111.7144817654042,4,4150,8,0.0,51,30,24.0,20.0,0.31295858837057206
K092,Kandidat 92,-6.882025177287373,112.01010938540124,10,6672,8,0.0,57,42,21.0,20.0,0.3106314028283224
K012,Kandidat 12,-6.882287760591353,112.014855385149,4,8596,4,0.0,58,27,22.0,20.0,0.3042380458914392
